english,korean,type
hello,안녕,current
world,세계,current
apple,사과,current
Cram,"좁은 곳에 쑤셔넣다, 벼락치기 공부하다",current
robust,견고하다,current
relief,완화하는,current
acquisition,"습득, 획득",current
elasticity,"탄력성, 신축성",current
cumulation,"누적, 쌓아 올림, 축적(accumulation)",current
accumulation,축적,current
defects,"결점, 결함",current
Application,"적용, 응용, 지원서, 신청서, 용도",current
Establish,"설립하다, 세우다, 확립하다",current
Verify,"확인하다, 검증하다",current
Validity,"유효성, 타당성, 법적 효력",current
Supplementation"보충, 추가, 보완",current
Reinforce,"강화하다, 보강하다, 지지하다",current
failures,"실패, 고장들",current
Estimated,"추정된, 예상된",current
Conduct,"수행하다, 행동하다 ; 행동",review
